Provider Name,Address 1,Address 2,City,State,Zip,Public Phone,Latitude,Longitude,Geopoint,Last Report Date,Is PAP Site,Prescribing Services Available,Appointment URL,Home Delivery,Is ICATT Site,Has USG Product,Has Commercial Product,Has Paxlovid,Has Commercial Paxlovid,Has USG Paxlovid,Has Lagevrio,Has Commercial Lagevrio,Has USG Lagevrio,Has Veklury,Has Oseltamivir Generic,Has Oseltamivir Suspension,Has Oseltamivir Tamiflu,Has Baloxavir,Has Zanamivir,Has Peramivir,Grantee Code,Is Flu,Is COVID-19
WALGREENS #11537,414 S MAGNOLIA DR,,TALLAHASSEE,FL,32301-2944,,30.437893,-84.262342,POINT (-84.262342 30.437893),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
SMITHERMANS PHARMACY,703 MAIN ST,,MONTEVALLO,AL,35115,,33.10057,-86.86308,POINT (-86.86308 33.10057),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE
WALGREENS #3459,2115 E HILLSBOROUGH AVE,,TAMPA,FL,33610-8204,,27.995662,-82.43604,POINT (-82.43604 27.995662),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
WALGREENS #4644,4600 S WASHINGTON AVE,,TITUSVILLE,FL,32780-7339,,28.557029,-80.798962,POINT (-80.798962 28.557029),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
WALGREENS #4799,22449 EDGEWATER DR,,PORT CHARLOTTE,FL,33980-2016,,26.963644,-82.074735,POINT (-82.074735 26.963644),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
CVS PHARMACY #05817,1800 EAST HIGHWAY 50,,CLERMONT,FL,34711,,28.547632,-81.722769,POINT (-81.722769 28.547632),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CV1,FALSE,TRUE
LA GANGA DISCOUNT PHARMACY,2975 NW 17TH AVE,,MIAMI,FL,33142,,25.804293,-80.223489,POINT (-80.223489 25.804293),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE
PUBLIX PHARMACY #0638,10142 INDIANTOWN RD,,JUPITER,FL,33478,,26.939334,-80.192452,POINT (-80.192452 26.939334),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PX1,FALSE,TRUE
WALMART PHARMACY 10-2626,6868 U.S. HWY 129,,LIVE OAK,FL,32060,,30.324465,-82.963965,POINT (-82.963965 30.324465),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WM1,FALSE,TRUE
WALMART PHARMACY 10-2591,151 SW 184 AVENUE,,PEMBROKE PINES,FL,33029,,26.005739,-80.389673,POINT (-80.389673 26.005739),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WM1,FALSE,TRUE
CVS PHARMACY #05247,2353 UNIVERSITY DRIVE,,CORAL SPRINGS,FL,33065,,26.259772,-80.249249,POINT (-80.249249 26.259772),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CV1,FALSE,TRUE
CVS PHARMACY #03281,11241 MIROMAR SQUARE BLVD,,ESTERO,FL,33928,239-992-6168,26.435271,-81.770572,POINT (-81.770572 26.435271),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,CV1,TRUE,TRUE
PUBLIX PHARMACY #0898,4145 9TH STREET SW,,VERO BEACH,FL,32968,,27.585849,-80.428984,POINT (-80.428984 27.585849),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PX1,FALSE,TRUE
CVS PHARMACY #03158,1895 N CONGRESS AVE,,BOYNTON BEACH,FL,33426,561-736-8116,26.545108,-80.091297,POINT (-80.091297 26.545108),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,CV1,TRUE,TRUE
VENICE APOTHECARY,1243 US HIGHWAY 41 BYP S.,,VENICE,FL,34285,,27.085357,-82.427384,POINT (-82.427384 27.085357),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE
CVS PHARMACY #03278,3501 N PINE AVE,,OCALA,FL,34475,352-622-3083,29.18805,-82.139255,POINT (-82.139255 29.18805),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,CV1,TRUE,TRUE
PUBLIX PHARMACY #0128,9518 ARGYLE FOREST BLVD,,JACKSONVILLE,FL,32222,,30.193436,-81.82565,POINT (-81.82565 30.193436),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PX1,FALSE,TRUE
PUBLIX PHARMACY #0157,19100 SOUTH TAMIAMI TRAIL,,FT MYERS,FL,33908,,26.462192,-81.830268,POINT (-81.830268 26.462192),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PX1,FALSE,TRUE
CVS PHARMACY #08383,5151 BELLE TERRE PKWY,,PALM COAST,FL,32137,386-446-9449,29.552728,-81.237985,POINT (-81.237985 29.552728),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,CV1,TRUE,TRUE
HOBBS PHARMACY,133 N BANANA RIVER DR,,MERRITT ISLAND,FL,32952,,28.358676,-80.665203,POINT (-80.665203 28.358676),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MS1,FALSE,TRUE
WALMART PHARMACY 10-3207,1601 RINEHART ROAD,,SANFORD,FL,32771,,28.802533,-81.32888,POINT (-81.32888 28.802533),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WM1,FALSE,TRUE
WALGREENS #11939,8450 SW 24TH STREET,,MIAMI,FL,33155-2334,,25.747205,-80.332232,POINT (-80.332232 25.747205),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
WALMART PHARMACY 10-5220,8220 NORTH DALE MABRY HIGHWAY,,TAMPA,FL,33614,,28.022518,-82.506881,POINT (-82.506881 28.022518),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WM1,FALSE,TRUE
WALMART PHARMACY 10-2727,33501 SO. DIXIE HWY.,,FLORIDA CITY,FL,33034,,25.457536,-80.474437,POINT (-80.474437 25.457536),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WM1,FALSE,TRUE
PUBLIX PHARMACY #0133,4870 SOUTH APOPKA VINELAND RD,,ORLANDO,FL,32819,,28.48409,-81.50573,POINT (-81.50573 28.48409),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PX1,FALSE,TRUE
PUBLIX PHARMACY #1076,617 US HIGHWAY 17 92 WEST,,HAINES CITY,FL,33844,,28.106485,-81.6384,POINT (-81.6384 28.106485),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PX1,FALSE,TRUE
CVS PHARMACY #08381,5208 E COUNTY RD 466,,THE VILLAGES,FL,32162,352-751-4700,28.927928,-82.016461,POINT (-82.016461 28.927928),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,CV1,TRUE,TRUE
CVS PHARMACY #08373,1301 N DIXIE HWY,,WEST PALM BEACH,FL,33401,561-366-1125,26.724938,-80.053535,POINT (-80.053535 26.724938),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,CV1,TRUE,TRUE
WALGREENS #7105,11010 BLOOMINGDALE AVE,,RIVERVIEW,FL,33578-3617,,27.894068,-82.31942,POINT (-82.31942 27.894068),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
PUBLIX PHARMACY #1070,242 NORTH ORLANDO AVE,,MAITLAND,FL,32751,,28.628664,-81.363277,POINT (-81.363277 28.628664),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PX1,FALSE,TRUE
CVS PHARMACY #05154,2599 SW 147TH AVENUE,,MIAMI,FL,33185,305-207-3868,25.743695,-80.431524,POINT (-80.431524 25.743695),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,CV1,TRUE,TRUE
WALGREENS #7806,805 HAVENDALE BLVD NW,,WINTER HAVEN,FL,33881-1311,,28.044527,-81.73563,POINT (-81.73563 28.044527),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
LA CUBANA PHARMACY DISCOUNT,5965 SW 8TH ST STE A,,MIAMI,FL,33144,,25.763636,-80.292478,POINT (-80.292478 25.763636),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,GN1,FALSE,TRUE
PUBLIX PHARMACY #1048,1501 MEETING PLACE,,ORLANDO,FL,32814,,28.56672,-81.327138,POINT (-81.327138 28.56672),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PX1,FALSE,TRUE
PUBLIX PHARMACY #1103,606 HAVENDALE BLVD,,AUBURNDALE,FL,33823,,28.05206,-81.775002,POINT (-81.775002 28.05206),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PX1,FALSE,TRUE
WALGREENS #3332,3601 BEE RIDGE RD,,SARASOTA,FL,34233-1002,,27.299489,-82.497103,POINT (-82.497103 27.299489),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
HEALTHLINK PHARMACY,3301 W WATERS AVE STE 101,,TAMPA,FL,33614,,28.025791,-82.494754,POINT (-82.494754 28.025791),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE
PUBLIX PHARMACY #0126,9720 CLINT MOORE ROAD,,BOCA RATON,FL,33496,,26.407789,-80.2001,POINT (-80.2001 26.407789),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PX1,FALSE,TRUE
HALLIDAYS KOIVISTOS PHARMACY,4133 UNIVERSITY BLVD S,STE 1,JACKSONVILLE,FL,32216-4316,,30.3468,-81.60981,POINT (-81.60981 30.3468),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE
SOUTH POINT PHARMACY,1864 W FLAGLER ST,,MIAMI,FL,33135,,25.772439,-80.226007,POINT (-80.226007 25.772439),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE
SAMS PHARMACY 10-6361,740 BEAL PKWY NW,,FT WALTON BEACH,FL,32547-3002,,30.439263,-86.641131,POINT (-86.641131 30.439263),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WM1,FALSE,TRUE
LAS OLAS CHEMIST,1211 E LAS OLAS BLVD,,FT LAUDERDALE,FL,33301,,26.119527,-80.130735,POINT (-80.130735 26.119527),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FLA,FALSE,TRUE
CVS PHARMACY #05854,2187 HOWLAND BLVD,,DELTONA,FL,32738,386-789-0813,28.925802,-81.190503,POINT (-81.190503 28.925802),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,CV1,TRUE,TRUE
WALGREENS #4120,3573 N FEDERAL HWY,,POMPANO BEACH,FL,33064-6607,,26.27503,-80.096757,POINT (-80.096757 26.27503),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
WALGREENS #3963,6003 14TH ST W,,BRADENTON,FL,34207-4105,,27.434454,-82.574887,POINT (-82.574887 27.434454),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
WALGREENS #3830,1947 FRUITVILLE ROAD,,SARASOTA,FL,34236-4203,,27.339317,-82.531567,POINT (-82.531567 27.339317),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
WALGREENS #2665,3350 CENTRAL AVE,,ST PETERSBURG,FL,33712-1021,,27.770507,-82.678833,POINT (-82.678833 27.770507),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
WALGREENS #2230,5420 9TH ST NORTH,,ST PETERSBURG,FL,33703-1202,,27.821647,-82.647644,POINT (-82.647644 27.821647),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
WALGREENS #3863,4141 W HILLSBOROUGH AVE,,TAMPA,FL,33614-5631,,27.99672,-82.512854,POINT (-82.512854 27.99672),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
CVS PHARMACY #00139,6820 GULFPORT BLVD S,,SOUTH PASADENA,FL,33707-2108,,27.757136,-82.733658,POINT (-82.733658 27.757136),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CV1,FALSE,TRUE
CVS PHARMACY #00171,7400 49TH ST N,,PINELLAS PARK,FL,33781,727-544-1491,27.839972,-82.700542,POINT (-82.700542 27.839972),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,CV1,TRUE,TRUE
CVS PHARMACY #00176,970 CYPRESS GARDENS BLVD,,WINTER HAVEN,FL,33880,863-294-3138,28.003528,-81.713368,POINT (-81.713368 28.003528),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,CV1,TRUE,TRUE
CVS PHARMACY #00188,13998 WALSINGHAM RD,,LARGO,FL,33774,727-595-2521,27.879704,-82.832914,POINT (-82.832914 27.879704),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,CV1,TRUE,TRUE
CVS PHARMACY #00262,400 6TH ST NW,,WINTER HAVEN,FL,33881,863-294-4493,28.02636,-81.732312,POINT (-81.732312 28.02636),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,CV1,TRUE,TRUE
CVS PHARMACY #00306,5432 US HWY 19 N,,NEW PORT RICHEY,FL,34652,727-843-8645,28.238489,-82.726873,POINT (-82.726873 28.238489),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,CV1,TRUE,TRUE
CVS PHARMACY #00319,4301 BEE RIDGE RD,,SARASOTA,FL,34233,941-371-6328,27.299147,-82.481703,POINT (-82.481703 27.299147),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,CV1,TRUE,TRUE
CVS PHARMACY #01816,5296 TAMIAMI TRL N,,NAPLES,FL,34103,239-261-6444,26.21056,-81.799826,POINT (-81.799826 26.21056),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,CV1,TRUE,TRUE
MAX DRUGS,4343 S. ST RD 7,SUITE 107,DAVIE,FL,33314,,26.062593,-80.25006,POINT (-80.25006 26.062593),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE
PUBLIX PHARMACY #1046,127 SOUTH STATE ROAD 7,,WELLINGTON,FL,33414,,26.675422,-80.205576,POINT (-80.205576 26.675422),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PX1,FALSE,TRUE
